-100 -100
1000 1000
498 63 177
499 269 276
500 124 155
501 368 36
502 264 325
503 288 422
504 83 266
505 478 317
506 404 97
507 222 304
508 499 291
509 169 30
510 185 497
511 54 353
512 116 142
513 359 228
514 464 142
515 182 387
516 476 379
517 2 243
518 44 95
519 470 64
520 336 39
521 133 94
522 417 69
523 491 155
524 305 4
525 363 109
526 465 351
527 281 441
528 445 90
529 486 355
530 162 155
531 378 474
532 295 402
533 420 268
534 429 142
535 186 271
536 467 287
537 263 232
538 78 8
539 204 481
540 451 399
541 341 173
542 202 354
543 443 394
544 214 441
545 203 136
546 390 491
547 388 208
548 481 111
549 156 159
550 404 414
551 201 288
552 293 114
553 42 165
554 219 418
555 389 263
556 29 349
557 107 11
558 356 199
559 41 127
560 67 496
561 495 253
562 40 265
563 322 176
564 128 249
565 35 120
566 464 166
567 304 463
568 126 346
569 226 166
570 353 319
571 319 120
572 482 335
573 500 16
574 51 138
575 453 325
576 435 235
577 73 149
578 42 256
579 458 353
580 302 278
581 455 121
582 135 334
583 283 124
584 462 442
585 399 178
586 494 300
587 141 356
588 84 302
589 400 253
590 314 357
591 481 424
592 207 1
593 72 358
594 178 241
595 472 268
596 283 275
597 94 487
598 3 458
599 107 214
600 190 2
601 196 192
602 30 187
603 278 323
604 16 157
605 498 138
606 447 33
607 231 475
608 52 389
609 362 496
610 81 77
611 69 145
612 32 109
613 289 232
614 490 439
615 66 453
616 94 111
617 265 427
618 419 102
619 341 378
620 285 186
621 351 481
622 277 330
623 71 157
624 154 116
625 227 183
626 185 286
627 247 229
628 133 156
629 339 371
630 133 343
631 113 262
632 386 294
633 216 52
634 442 139
635 312 163
636 241 128
637 489 137
638 26 88
639 421 177
640 107 112
641 145 141
642 355 387
643 458 81
644 448 287
645 484 475
646 119 29
647 161 206
648 17 301
649 305 214
650 280 420
651 249 465
652 443 150
653 332 22
654 67 449
655 121 318
656 210 73
657 441 208
658 457 240
659 412 71
660 247 404
661 304 206
662 314 343
663 86 202
664 29 497
665 107 111
666 141 280
667 249 408
668 111 491
669 135 235
670 297 176
671 133 375
672 433 245
673 38 31
674 121 134
675 274 329
676 56 245
677 293 94
678 53 116
679 188 253
680 186 98
681 423 367
682 217 323
683 437 226
684 435 3
685 254 49
686 398 405
687 317 236
688 277 173
689 82 184
690 445 377
691 1 401
692 481 232
693 362 298
694 423 240
695 348 436
696 136 498
697 171 449
698 198 113
699 217 362
700 474 360
701 444 4
702 215 91
703 41 358
704 302 169
705 169 457
706 382 143
707 73 357
708 245 96
709 9 102
710 308 47
711 153 422
712 361 442
713 21 392
714 98 236
715 46 151
716 397 170
717 465 370
718 17 396
719 373 377
720 61 258
721 441 70
722 69 318
723 367 110
724 204 41
725 415 400
726 423 260
727 214 251
728 161 302
729 6 68
730 149 490
731 472 334
732 329 245
733 233 216
734 384 257
735 97 123
736 190 338
737 284 56
738 352 95
739 421 182
740 75 184
741 216 415
742 115 251
743 449 136
744 411 187
745 381 250
746 11 456
747 187 145
748 37 279
749 273 342
750 465 407
751 316 265
752 409 314
753 400 79
754 238 78
755 348 185
756 145 35
757 195 407
758 154 376
759 60 23
760 365 162
761 455 233
762 42 188
763 355 237
764 207 190
765 215 322
766 376 71
767 379 359
768 177 448
769 473 417
770 48 132
771 132 245
772 188 257
773 151 112
774 280 108
775 479 182
776 233 298
777 173 250
778 389 288
779 449 180
780 80 363
781 96 411
782 461 115
783 392 30
784 261 189
785 219 368
786 3 236
787 73 147
788 366 458
789 192 176
790 254 249
791 7 49
792 298 332
793 175 431
794 132 104
795 366 299
796 170 51
797 206 56
798 189 371
799 59 54
800 461 213
801 22 335
802 3 89
803 125 414
804 342 272
805 198 315
806 159 448
807 411 101
808 310 163
809 92 76
810 257 306
811 46 80
812 336 194
813 235 279
814 420 414
815 98 78
816 238 443
817 453 333
818 341 222
819 374 114
820 364 461
821 212 471
822 202 285
823 233 493
824 419 449
825 335 457
826 182 86
827 372 416
828 445 384
829 467 158
830 312 20
831 496 234
832 9 282
833 388 170
834 111 351
835 412 105
836 74 319
837 5 198
838 269 173
839 46 207
840 384 42
841 111 437
842 102 243
843 79 426
844 386 245
845 274 187
846 86 68
847 337 393
848 344 323
849 490 48
850 52 244
851 344 492
852 287 88
853 58 37
854 485 317
855 418 475
856 328 33
857 435 125
858 401 380
859 434 113
860 175 469
861 161 229
862 434 128
863 459 319
864 324 273
865 305 345
866 85 331
867 206 38
868 485 174
869 228 125
870 18 499
871 329 222
872 259 126
873 368 338
874 370 500
875 430 90
876 407 265
877 105 339
878 294 492
879 201 455
880 304 356
881 216 314
882 288 324
883 2 282
884 288 389
885 331 293
886 393 416
887 298 266
888 138 121
889 252 107
890 1 203
891 257 146
892 303 455
893 444 205
894 261 389
895 467 112
896 340 431
897 9 461
898 55 79
899 157 108
900 147 474
901 400 400
902 57 336
903 462 47
904 224 234
905 171 483
906 86 286
907 276 389
908 107 492
909 71 433
910 361 149
911 380 290
912 17 80
913 303 343
914 207 470
915 93 23
916 497 162
917 366 152
918 438 324
919 360 119
920 455 18
921 410 393
922 385 445
923 274 216
924 71 127
925 169 463
926 470 45
927 261 403
928 443 420
929 89 41
930 278 10
931 211 388
932 145 18
933 418 158
934 267 275
935 168 154
936 109 127
937 137 295
938 105 378
939 230 369
940 296 485
941 249 329
942 94 83
943 189 139
944 143 384
945 128 60
946 252 472
947 9 353
948 117 315
949 281 471
950 394 16
951 150 225
952 499 178
953 81 377
954 450 493
955 348 315
956 154 305
957 233 45
958 285 479
959 395 212
960 116 225
961 466 397
962 481 265
963 94 252
964 234 194
965 169 369
966 360 217
967 53 96
968 457 455
969 443 65
970 479 9
971 111 211
972 75 79
973 341 341
974 430 72
975 228 262
976 304 487
977 307 38
978 50 313
979 339 197
980 150 355
981 163 118
982 470 378
983 214 288
984 340 210
985 296 67
986 28 179
987 100 194
988 411 361
989 26 13
990 171 431
991 460 141
992 208 196
993 495 124
994 324 184
995 426 130
996 122 32
997 264 473
998 114 116
999 118 156
1000 329 315
1001 215 229
1002 454 382
1003 330 261
1004 157 470
1005 203 145
1006 197 401
1007 163 351
1008 423 32
1009 362 46
1010 443 220
1011 40 80
1012 241 1
1013 368 168
1014 100 25
1015 162 234
1016 259 2
1017 401 426
1018 438 358
1019 360 461
1020 265 366
1021 30 423
1022 165 334
1023 425 363
1024 329 204
1025 188 213
1026 494 420
1027 449 378
1028 387 375
1029 413 136
1030 225 350
1031 377 105
1032 228 453
1033 35 265
1034 97 304
1035 409 190
1036 303 421
1037 491 327
1038 1 268
1039 134 88
1040 180 312
1041 13 237
1042 139 328
1043 232 67
1044 157 423
1045 455 225
1046 363 225
1047 352 31
1048 242 483
1049 122 329
1050 175 107
1051 252 295
1052 210 358
1053 21 426
1054 322 284
1055 106 232
1056 371 425
1057 73 302
1058 417 167
1059 393 283
1060 9 186
1061 412 138
1062 290 221
1063 112 102
1064 148 73
1065 71 218
1066 35 450
1067 122 273
1068 396 94
1069 436 39
1070 239 313
1071 282 307
1072 91 120
1073 87 448
1074 493 477
1075 125 323
1076 380 108
1077 239 370
1078 26 466
1079 205 153
1080 90 494
1081 260 150
1082 220 46
1083 391 293
1084 439 240
1085 409 2
1086 288 127
1087 263 16
1088 154 257
1089 165 36
1090 98 11
1091 459 184
1092 28 472
1093 266 375
1094 414 73
1095 243 202
1096 257 282
1097 339 347
1098 331 250
1099 259 297
1100 127 11
1101 244 297
1102 235 269
1103 414 298
1104 220 214
1105 64 130
1106 404 124
1107 63 300
1108 333 346
1109 472 226
1110 214 136
1111 145 150
1112 159 301
1113 17 478
1114 467 294
1115 216 440
1116 95 295
1117 201 302
1118 8 176
1119 315 257
1120 192 349
1121 71 62
1122 91 420
1123 426 230
1124 335 334
1125 425 499
1126 439 40
1127 337 2
1128 191 159
1129 87 400
1130 480 402
1131 20 94
1132 313 131
1133 117 388
1134 5 240
1135 275 230
1136 8 425
1137 235 408
1138 350 396
1139 195 57
1140 227 343
1141 149 159
1142 200 335
1143 158 355
1144 224 216
1145 438 446
1146 291 35
1147 441 202
1148 157 338
1149 83 136
1150 39 53
1151 189 258
1152 94 266
1153 217 150
1154 83 344
1155 391 245
1156 81 146
1157 160 170
1158 300 420
1159 223 404
1160 485 442
1161 300 12
1162 30 7
1163 29 194
1164 341 64
1165 406 414
1166 141 103
1167 464 192
1168 233 374
1169 497 255
1170 34 249
1171 279 189
1172 34 465
1173 435 97
1174 328 304
1175 484 214
1176 467 360
1177 480 198
1178 227 228
1179 137 245
1180 437 480
1181 136 64
1182 9 150
1183 286 192
1184 78 273
1185 199 431
1186 115 446
1187 125 237
1188 209 353
1189 48 444
1190 9 166
1191 253 10
1192 122 349
1193 333 234
1194 329 333
1195 477 109
1196 236 397
1197 380 454
1198 323 40
1199 458 371
1200 91 322
1201 266 302
1202 168 268
1203 96 397
1204 87 95
1205 226 475
1206 52 491
1207 427 237
1208 91 33
1209 214 473
1210 277 425
1211 431 281
1212 215 25
1213 170 133
1214 188 221
1215 75 334
1216 120 245
1217 260 266
1218 418 461
1219 58 20
1220 120 400
1221 93 278
1222 256 13
1223 169 134
1224 211 19
1225 174 172
1226 397 203
1227 386 242
1228 346 156
1229 129 358
1230 460 185
1231 274 349
1232 404 142
1233 14 266
1234 370 83
1235 4 172
1236 300 127
1237 323 308
1238 108 229
1239 294 79
1240 61 227
1241 139 320
1242 352 220
1243 337 34
1244 494 491
1245 186 222
1246 189 102
1247 316 425
1248 222 205
1249 395 241
1250 382 174
1251 391 466
1252 456 284
1253 472 168
1254 143 222
1255 109 447
1256 287 76
1257 324 271
1258 420 5
1259 2 414
1260 168 388
1261 88 155
1262 449 404
1263 248 21
1264 455 420
1265 436 4
1266 196 411
1267 106 108
1268 18 76
1269 239 383
1270 303 49
1271 459 241
1272 463 251
1273 134 427
1274 323 329
1275 211 338
1276 371 255
1277 463 22
1278 289 43
1279 398 155
1280 308 480
1281 71 283
1282 142 28
1283 331 379
1284 8 224
1285 394 400
1286 42 450
1287 229 238
1288 236 327
1289 304 209
1290 376 331
1291 309 25
1292 284 366
1293 182 98
1294 63 201
1295 444 148
1296 439 175
1297 239 197
1298 292 228
1299 49 343
1300 492 321
1301 133 84
1302 441 112
1303 49 402
1304 498 485
1305 22 90
1306 207 285
1307 327 353
1308 53 321
1309 267 139
1310 385 181
1311 316 272
1312 244 494
1313 89 401
1314 298 354
1315 446 494
1316 259 472
1317 103 441
1318 71 252
1319 456 312
1320 349 72
1321 290 419
1322 278 236
1323 172 333
1324 427 425
1325 103 326
1326 463 242
1327 182 27
1328 53 209
1329 58 152
1330 171 58
1331 448 119
1332 472 466
1333 359 336
1334 359 268
1335 259 367
1336 91 260
1337 272 296
1338 482 265
1339 82 412
1340 478 217
1341 192 317
1342 62 125
1343 258 320
1344 483 170
1345 53 56
1346 251 226
1347 158 108
1348 35 231
1349 487 441
1350 203 197
1351 362 499
1352 498 49
1353 374 244
1354 47 130
1355 103 361
1356 179 415
1357 210 155
1358 337 10
1359 200 285
1360 199 79
1361 493 232
1362 115 398
1363 431 473
1364 436 326
1365 152 175
1366 97 243
1367 289 154
1368 134 365
1369 318 435
1370 12 39
1371 326 488
1372 72 13
1373 115 295
1374 299 173
1375 328 493
1376 335 474
1377 473 153
1378 173 446
1379 345 325
1380 301 209
1381 326 371
1382 497 117
1383 166 300
1384 435 4
1385 442 206
1386 8 289
1387 151 432
1388 283 289
1389 48 489
1390 158 78
1391 430 307
1392 318 196
1393 275 413
1394 207 254
1395 311 46
1396 433 47
1397 429 444
1398 197 443
1399 406 189
1400 346 173
1401 1 135
1402 112 45
1403 312 289
1404 130 470
1405 288 282
1406 288 155
1407 390 128
1408 360 68
1409 498 160
1410 94 144
1411 80 432
1412 62 299
1413 157 279
1414 453 478
1415 355 151
1416 221 377
1417 186 405
1418 12 487
1419 419 319
1420 84 307
1421 3 366
1422 76 22
1423 409 282
1424 346 48
1425 53 464
1426 476 313
1427 387 24
1428 62 341
1429 221 117
1430 113 393
1431 134 141
1432 267 397
1433 146 225
1434 232 88
1435 276 479
1436 317 305
1437 50 57
1438 389 395
1439 38 306
1440 392 101
1441 261 347
1442 116 13
1443 491 405
1444 405 372
1445 268 172
1446 493 377
1447 443 316
1448 273 122
1449 235 46
1450 182 266
1451 205 36
1452 101 367
1453 73 116
1454 427 437
1455 309 370
1456 300 47
1457 316 250
1458 185 238
1459 360 200
1460 64 350
1461 226 239
1462 261 294
1463 66 371
1464 364 468
1465 253 323
1466 262 166
1467 145 18
1468 300 90
1469 156 199
1470 199 300
1471 186 94
1472 181 120
1473 360 158
1474 257 164
1475 243 28
1476 157 213
1477 317 29
1478 68 165
1479 337 399
1480 46 150
1481 416 86
1482 286 317
1483 267 235
1484 213 469
1485 265 154
1486 373 99
1487 95 8
1488 480 6
1489 421 165
1490 225 85
1491 389 162
1492 48 136
1493 496 2
1494 185 207
1495 302 13
1496 278 43
1497 320 44
1498 471 418
1499 357 136
1500 3 268
1501 246 439
1502 258 82
1503 293 402
1504 163 99
1505 458 201
1506 417 107
1507 153 145
1508 173 65
1509 69 427
1510 388 190
1511 344 491
1512 331 394
1513 135 7
1514 234 497
1515 215 245
1516 481 289
1517 122 394
1518 160 237
1519 305 324
1520 309 230
1521 269 186
1522 148 343
1523 254 106
1524 339 292
1525 231 437
1526 349 360
1527 11 180
1528 181 128
1529 289 338
1530 62 201
1531 323 424
1532 483 304
1533 430 133
1534 368 90
1535 203 467
1536 359 109
1537 13 365
1538 462 357
1539 418 38
1540 242 307
1541 272 309
1542 278 172
1543 294 430
1544 181 500
1545 387 218
1546 194 461
1547 29 225
1548 88 394
1549 371 288
1550 10 440
1551 456 193
1552 282 247
1553 88 52
1554 316 110
1555 162 274
1556 453 185
1557 220 239
1558 60 89
1559 120 286
1560 270 340
1561 115 452
1562 360 286
1563 1 56
1564 438 449
1565 496 371
1566 46 283
1567 116 464
1568 388 95
1569 126 66
1570 447 164
1571 481 426
1572 129 257
1573 143 356
1574 158 197
1575 291 199
1576 463 148
1577 386 76
1578 347 430
1579 196 447
1580 402 70
1581 197 492
1582 130 181
1583 80 400
1584 56 151
1585 346 71
1586 184 380
1587 163 19
1588 191 316
1589 389 210
1590 5 387
1591 130 6
1592 377 281
1593 463 14
1594 118 189
1595 100 129
1596 333 138
1597 248 196
1598 99 313
1599 184 241
1600 119 293
1601 21 112
1602 450 371
1603 12 90
1604 229 99
1605 488 6
1606 154 341
1607 87 433
1608 34 489
1609 329 35
1610 252 73
1611 481 204
1612 175 281
1613 141 154
1614 349 473
1615 376 445
1616 153 77
1617 299 50
1618 198 463
1619 200 487
1620 366 311
1621 486 327
1622 426 97
1623 47 353
1624 209 43
1625 30 250
1626 450 112
1627 411 138
1628 160 9
1629 472 464
1630 322 247
1631 225 179
1632 435 262
1633 146 196
1634 42 393
1635 20 123
1636 358 429
1637 446 80
1638 320 415
1639 87 71
1640 44 214
1641 272 421
1642 347 24
1643 312 338
1644 356 250
1645 126 327
1646 383 145
1647 496 460
1648 295 298
1649 145 348
1650 325 29
1651 281 438
1652 149 35
1653 381 444
1654 409 218
1655 451 377
1656 213 340
1657 488 312
1658 396 26
1659 257 63
1660 309 49
1661 13 315
1662 321 403
1663 72 177
1664 135 45
1665 402 15
1666 375 324
1667 88 309
1668 161 437
1669 353 43
1670 3 337
1671 467 111
1672 359 248
1673 148 334
1674 65 13
1675 302 401
1676 31 171
1677 102 15
1678 221 245
1679 446 262
1680 357 451
1681 322 59
1682 205 280
1683 276 177
1684 42 327
1685 1 110
1686 304 335
1687 181 1
1688 65 261
1689 57 248
1690 99 365
1691 74 95
1692 80 365
1693 497 278
1694 469 317
1695 42 258
1696 445 459
1697 490 11
1698 397 166
1699 229 118
1700 148 207
1701 239 387
1702 318 128
1703 433 11
1704 114 63
1705 388 163
1706 89 135
1707 387 434
1708 493 36
1709 325 329
1710 134 70
1711 123 19
1712 457 381
1713 417 315
1714 430 235
1715 342 123
1716 479 368
1717 383 12
1718 267 185
1719 150 469
1720 279 148
1721 200 82
1722 119 355
1723 116 479
1724 309 74
1725 160 495
1726 474 332
1727 26 311
1728 173 497
1729 394 240
1730 194 190
1731 378 335
1732 354 139
1733 444 140
1734 256 34
1735 89 198
1736 392 123
1737 191 247
1738 215 233
1739 95 373
1740 435 95
1741 252 284
1742 319 315
1743 472 52
1744 157 118
1745 210 219
1746 446 157
1747 465 491
1748 44 171
1749 354 52
1750 434 337
1751 282 428
1752 453 102
1753 443 31
1754 366 460
1755 279 477
1756 121 331
1757 310 80
1758 83 316
1759 214 446
1760 471 374
1761 480 363
1762 455 410
1763 493 313
1764 128 7
1765 358 499
1766 416 275
1767 443 213
1768 19 449
1769 399 136
1770 354 412
1771 430 85
1772 263 440
1773 68 206
1774 153 354
1775 262 256
1776 300 472
1777 334 396
1778 82 91
1779 139 111
1780 324 187
1781 337 36
1782 205 1
1783 73 129
1784 126 113
1785 325 334
1786 156 460
1787 60 472
1788 315 466
1789 418 87
1790 403 499
1791 435 478
1792 234 178
1793 221 266
1794 59 194
1795 299 340
1796 38 130
1797 295 87
1798 359 410
1799 28 475
1800 496 311
1801 11 2
1802 151 174
1803 399 21
1804 40 209
1805 331 281
1806 87 141
1807 499 146
1808 462 259
1809 69 177
1810 200 36
1811 155 359
1812 382 53
1813 281 499
1814 171 464
1815 283 257
1816 273 311
1817 461 221
1818 399 145
1819 130 180
1820 361 258
1821 327 120
1822 356 443
1823 129 41
1824 119 161
1825 56 300
1826 298 495
1827 140 149
1828 413 176
1829 477 336
1830 90 342
1831 158 174
1832 48 48
1833 312 155
1834 233 184
1835 141 499
1836 53 423
1837 249 211
1838 155 240
1839 454 32
1840 42 146
1841 252 402
1842 475 236
1843 34 229
1844 349 451
1845 214 151
1846 153 148
1847 246 386
1848 412 350
1849 246 496
1850 408 149
1851 43 496
1852 34 333
1853 84 53
1854 247 125
1855 437 320
1856 189 152
1857 359 153
1858 207 202
1859 469 38
1860 497 86
1861 160 500
1862 164 435
1863 298 286
1864 299 3
1865 134 194
1866 80 153
1867 206 108
1868 4 438
1869 79 7
1870 112 474
1871 322 314
1872 462 128
1873 321 352
1874 298 98
1875 64 11
1876 155 95
1877 429 444
1878 374 293
1879 309 53
1880 351 410
1881 170 247
1882 330 391
1883 62 464
1884 169 176
1885 410 388
1886 471 160
1887 426 411
1888 187 85
1889 45 336
1890 38 128
1891 457 121
1892 240 129
1893 372 282
1894 416 257
1895 66 213
1896 77 99
1897 237 282
1898 21 353
1899 433 246
1900 328 33
1901 150 405
1902 195 208
1903 1 406
1904 6 122
1905 477 301
1906 304 239
1907 479 113
1908 374 349
1909 282 273
1910 245 269
1911 394 468
1912 42 326
1913 266 186
1914 207 154
1915 112 372
1916 37 283
1917 280 229
1918 331 137
1919 429 307
1920 425 166
1921 298 307
1922 347 110
1923 224 206
1924 206 74
1925 281 96
1926 319 461
1927 362 51
1928 335 23
1929 322 43
1930 358 253
1931 477 270
1932 135 114
1933 9 403
1934 12 247
1935 1 281
1936 271 193
1937 473 200
1938 23 151
1939 255 492
1940 194 465
1941 125 293
1942 294 6
1943 189 337
1944 78 342
1945 183 108
1946 159 284
1947 360 469
1948 352 430
1949 135 384
1950 491 85
1951 17 6
1952 308 157
1953 420 211
1954 209 243
1955 206 293
1956 111 494
1957 189 450
1958 462 273
1959 112 482
1960 209 47
1961 156 89
1962 109 282
1963 443 283
1964 275 48
1965 203 427
1966 54 366
1967 476 148
1968 258 401
1969 32 479
1970 159 495
1971 29 222
1972 21 444
1973 366 366
1974 200 57
1975 456 319
1976 304 494
1977 376 476
1978 197 15
1979 417 312
1980 399 64
1981 222 95
1982 53 65
1983 90 248
1984 481 285
1985 313 246
1986 57 236
1987 131 200
1988 480 192
1989 150 454
1990 159 117
1991 152 286
1992 186 469
1993 340 166
1994 383 215
1995 157 37
1996 32 119
1997 169 120
1998 330 464
1999 379 243
2000 69 277
2001 381 479
2002 495 22
2003 152 178
2004 198 27
2005 139 132
2006 468 280
2007 473 103
2008 55 110
2009 433 138
2010 151 417
2011 169 232
2012 289 327
2013 51 384
2014 251 381
2015 99 375
2016 92 279
2017 73 160
2018 153 390
2019 138 313
2020 434 250
2021 210 451
2022 179 362
2023 218 486
2024 414 180
2025 185 429
2026 372 187
2027 52 466
2028 439 113
2029 262 256
2030 132 340
2031 245 257
2032 250 413
2033 421 7
2034 414 112
2035 357 352
2036 353 308
2037 120 204
2038 219 148
2039 98 112
2040 19 440
2041 18 156
2042 234 473
2043 229 430
2044 340 201
2045 486 38
2046 281 427
2047 389 313
2048 193 32
2049 227 365
2050 170 208
2051 5 465
2052 105 210
2053 279 279
2054 98 193
2055 83 113
2056 120 356
2057 224 340
2058 480 329
2059 190 344
2060 224 23
2061 405 281
2062 422 95
2063 97 380
2064 240 197
2065 13 17
2066 62 448
2067 57 290
2068 376 475
2069 449 491
2070 109 182
2071 451 332
2072 228 414
2073 440 274
2074 222 277
2075 15 197
2076 78 274
2077 452 203
2078 247 146
2079 171 185
2080 259 384
2081 75 180
2082 416 124
2083 11 430
2084 163 369
2085 118 154
2086 288 108
2087 296 98
2088 169 274
2089 344 195
2090 60 30
2091 398 65
2092 369 383
2093 362 476
2094 341 163
2095 478 476
2096 458 150
2097 396 411
2098 116 305
2099 271 155
2100 13 168
2101 290 140
